NUMERO,LOCALIDADE,ESTADO,PAIS,SP,LogLM,LogBM1,LogLIF,LogBFI,LogBIT,LogBP,LogLN,LogBN,LogLIB,LogBB,LogBZP,LogBOC,LogLPB,LogBI,LogLI,LogLB,LM,BM1,LIF,BFI,BIT,BP,LN,BN,LIB,BB,BZP,BOC,LPB,BI,LI,LB,LAT,LONG,LD1,LD2,LD3,LD4,LD5
UMMZ 174822,"Margin of Rio Tebicuary, 1.2 Km upstream (E) Hotel Centu Cue (opposite margin)",Paraguari,Paraguay,A,1.996059933,0.875468737,2.033397603,0.88376754,1.345472367,2.079441542,2.671386217,1.17557333,1.583093937,2.77133794,1.583093937,2.148267733,2.22028985,2.51041194,1.01884732,2.716018371,7.36,2.4,7.64,2.42,3.84,8,14.46,3.24,4.87,15.98,4.87,8.57,9.21,12.31,2.77,15.12,-26.4,-57.03,-2.355789046,0.069340681,0.045074274,0.094083807,1.328504234
UMMZ 174824,"Margin of Rio Tebicuary, 1.2 Km upstream (E) Hotel Centu Cue (opposite margin)",Paraguari,Paraguay,A,2.017566138,0.896088025,2.017566138,0.824175443,1.342864803,2.090628731,2.721953106,1.470175845,1.621366483,2.79971739,1.663926098,2.135349174,2.255493485,2.539236994,1.08180517,2.76000994,7.52,2.45,7.52,2.28,3.83,8.09,15.21,4.35,5.06,16.44,5.28,8.46,9.54,12.67,2.95,15.8,-26.4,-57.03,-2.809568645,0.83078796,3.021912092,-0.823583279,0.610605253
UMMZ 174863,"Estancia San Isidro, 5.56 Km NW of houses",Itapua,Paraguay,A,2.024193067,0.978326123,2.123458427,0.955511445,1.337629189,2.188295947,2.742773637,1.463255402,1.472472057,2.738256043,1.658228077,2.102913898,2.231089091,2.308567165,1.085189268,2.698673039,7.57,2.66,8.36,2.6,3.81,8.92,15.53,4.32,4.36,15.46,5.25,8.19,9.31,10.06,2.96,14.86,-26.48,-55.89,-3.656754078,0.088898646,1.214415156,-0.419257254,-1.362276315
MNHN 1032,"Ba_ado Tropa vieja, Atl_ntida, Canelones", Canelones,Uruguai,A,2.043814364,0.90825856,2.1690537,0.955511445,1.510721939,2.192770227,2.878636502,1.470175845,1.521698998,2.789937361,1.896119485,2.256541154,2.379546134,2.433613355,1.316408234,2.764430535,7.72,2.48,8.75,2.6,4.53,8.96,17.79,4.35,4.58,16.28,6.66,9.55,10.8,11.4,3.73,15.87,-34.73,-55.75,-4.203986397,-1.104014983,1.023797543,-1.258292337,0.391552703
MNHN 1036,"Ba_ado Tropa vieja, Atl_ntida, Canelones", Canelones,Uruguai,A,2.07819076,0.943905899,2.171336806,1.047318994,1.515127233,2.207174908,2.85991255,1.350667183,1.591273942,2.87356464,1.827769907,2.255493485,2.503073954,2.434490164,1.040276712,2.790551423,7.99,2.57,8.77,2.85,4.55,9.09,17.46,3.86,4.91,17.7,6.22,9.54,12.22,11.41,2.83,16.29,-34.73,-55.75,-4.270836998,-0.522981766,0.16475237,-0.6993617,1.082693777
MNHN 1051,"Ba_ado Tropa vieja, Atl_ntida, Canelones", Canelones,Uruguai,A,1.935859813,0.887891257,2.17702187,0.982078472,1.528227857,2.186051277,2.811208293,1.358409158,1.490654376,2.842581094,1.759580571,2.135349174,2.33020026,2.403334996,0.90016135,2.721953106,6.93,2.43,8.82,2.67,4.61,8.9,16.63,3.89,4.44,17.16,5.81,8.46,10.28,11.06,2.46,15.21,-34.73,-55.75,-3.585665802,-0.023455436,0.3667053,-1.171482569,-0.435438461
MNHN 1413,"Ba_ado Tropa vieja, Atl_ntida, Canelones", Canelones,Uruguai,A,2.063058062,0.943905899,2.084429083,1.004301609,1.526056303,2.206074193,2.797281335,1.353254507,1.581038438,2.853015971,1.805004696,2.264883226,2.422144328,2.349468679,0.90016135,2.762538386,7.87,2.57,8.04,2.73,4.6,9.08,16.4,3.87,4.86,17.34,6.08,9.63,11.27,10.48,2.46,15.84,-34.73,-55.75,-4.77424077,-0.851239955,0.597126254,-0.364175416,0.398392327
MNHN 722,"Ba_ado Tropa vieja, Atl_ntida, Canelones", Canelones,Uruguai,A,2.066862759,0.947789399,2.116255515,1.047318994,1.410986974,2.159868791,2.733067964,1.217875709,1.442201993,2.784393768,1.72455072,2.199444334,2.365559892,2.292534757,1.166270937,2.719978772,7.9,2.58,8.3,2.85,4.1,8.67,15.38,3.38,4.23,16.19,5.61,9.02,10.65,9.9,3.21,15.18,-34.73,-55.75,-3.761594917,-1.004663399,-0.742110559,0.619687155,-0.11925547
MNHN 725,"Ba_ado Tropa vieja, Atl_ntida, Canelones", Canelones,Uruguai,A,2.055404964,0.928219303,2.073171929,1.040276712,1.366091654,2.148267733,2.710713319,1.332366019,1.619388243,2.841998174,1.660131027,2.179286877,2.372111156,2.479056236,0.996948635,2.730463796,7.81,2.53,7.95,2.83,3.92,8.57,15.04,3.79,5.05,17.15,5.26,8.84,10.72,11.93,2.71,15.34,-34.73,-55.75,-3.48161992,0.196580528,0.403598274,-0.035838926,0.318500982
MNHN 728,"Ba_ado Tropa vieja, Atl_ntida, Canelones", Canelones,Uruguai,A,2.083184528,0.963174318,2.150598736,1.01884732,1.523880024,2.246014742,2.848970892,1.358409158,1.665818246,2.847812143,1.899117988,2.190535589,2.471483629,2.433613355,0.920282753,2.796061078,8.03,2.62,8.59,2.77,4.59,9.45,17.27,3.89,5.29,17.25,6.68,8.94,11.84,11.4,2.51,16.38,-34.73,-55.75,-4.046187428,1.428078781,0.548280974,-1.960716245,1.480522743
