Individual	Species	CSM	LM1	CFI	LFI	LPI	LPA	CNA	LNA	LIO	LCC	LPZ	LCO	CPP	LIP	CIP
94	I	-0.033415032	0.01364342	0.080930685	0.075250787	0.199348481	0.037225436	0.149712365	0.101876445	-0.069168636	0.007551733	0.171564835	-0.011182607	0.156636544	-0.001553784	0.078359405
95	I	0.012021941	0.079178963	-0.092003165	0.044615776	-0.073161508	-0.004416204	0.029666269	0.10019475	-0.011253392	0.020475543	-0.151533034	-0.020099612	-0.035205245	-0.051578031	-0.217121579
96	I	0.016842674	-0.040455512	-0.093417374	-0.000434691	-0.013810959	-0.06624145	-0.023874616	-0.101855737	0.000804609	-0.024097091	-0.131800071	0.070858227	0.029606964	-0.186098516	-0.249810448
97	I	0.011031843	0.021518747	-0.090163514	-0.057247402	-0.217060379	-0.006735308	-0.200124733	0.06606306	0.083952155	-0.006920861	-0.182358555	0.052615316	-0.080199198	-0.018602847	0.008742685
98	I	-0.014989443	0.001186343	0.105045718	0.023656941	0.028221528	0.025000557	0.046370721	0.079096092	-0.01555969	-0.056826803	0.042419072	0.046212325	-0.023376868	-0.088734006	0.248159124
99	I	-0.012570717	0.013899914	-0.008921169	0.003324007	0.073704268	-0.000634318	-0.089658781	0.05311091	0.001839862	-0.044345064	0.075585335	0.014731089	-0.03283224	-0.143635728	0.28661451
100	I	0.038841588	0.03941343	0.035691951	0.124379526	0.090359944	-0.007664351	0.072161063	0.126107752	-0.009554837	0.030620043	0.10256362	0.035395746	0.079173705	0.094417514	0.186695631
101	I	0.06446084	0.074528119	0.020191004	0.087991911	-0.057548995	0.020561127	-0.021288195	-0.034018958	-0.029697989	-0.014636383	0.0337342	0.039524422	-0.000678879	-0.09346631	-0.04952073
102	I	-0.075752986	0.068545293	0.082868403	0.017598341	0.1273079	-0.019232506	0.08596953	0.075766029	0.036651951	-0.063016518	0.096906168	0.03069952	0.072803768	-0.0034421	0.160992546
103	I	-0.002705054	-0.025157692	0.099490475	0.044029881	-0.02420703	-0.041398138	0.04326039	0.054930578	-0.011156125	-0.089169442	-0.013745714	0.032685863	-0.027301677	-0.035094558	-0.105294127
104	I	0.035344175	0.060485558	0.108065135	0.114015207	-0.007840443	0.081383704	0.04696632	-0.141703756	-0.05058635	0.005299844	-0.025773913	0.015953502	-0.006911159	0.016105699	0.157950132
105	I	0.018775248	-0.023717644	0.08043774	0.047329433	-0.093880865	-0.067354809	0.058537516	0.07479427	-0.041174897	0.028390413	-0.018642561	-0.050403701	-0.025273386	0.049465937	0.211515194
106	I	0.061343579	0.041993196	0.0195236	-0.009576381	-0.00479685	0.031327614	0.036130697	-0.046428252	-0.104291474	-0.012031475	0.006197981	0.048034745	-0.002016244	-0.040707863	-0.061680423
107	I	0.057965584	0.010339176	0.127364889	0.115259291	0.092309761	0.022873062	0.140018813	-0.041309304	-0.046693098	0.082434932	-0.00456599	-0.039149999	0.0044934	-0.017732583	0.174414931
108	I	0.086724609	0.053231645	0.132368618	0.141063074	0.043618131	0.075713978	0.175769532	-0.038070083	-0.06586318	0.078725018	0.102221775	0.041883683	0.064482027	-0.016750897	0.399554554
109	I	0.003372189	-0.004383662	0.040125773	0.103196763	0.009320718	0.059908242	0.04663156	0.037418496	0.029126984	-0.000257245	0.002129559	0.028703821	0.072643637	0.11113703	0.217550444
110	I	0.017496718	-0.047349698	0.19034998	0.092614654	-0.029432268	0.020325238	0.078644537	0.061580745	-0.06311414	-0.001575636	0.032838216	0.018839376	-0.041799159	-0.00842137	-0.01086222
111	I	-0.016334453	-0.040462156	0.043457609	0.122720303	0.047380421	-0.064960592	0.070519628	0.021147064	-0.125345445	0.002674935	0.032423691	0.014053094	-0.000995357	-0.06869915	-0.099842794
112	I	0.014007889	0.037803188	0.021771825	-0.002768533	-0.15759902	0.031331162	-0.050396927	0.015952838	-0.042295704	0.003159677	-0.089096173	0.01668779	-0.001316527	-0.000843684	0.093336116
113	I	0.045935079	0.028334279	-0.075433663	-0.007138941	-0.046522905	0.021533402	-0.071283595	0.007631113	-0.025814096	-0.016909679	-0.087038159	0.010518828	-0.035390754	-0.062235225	-0.025290264
114	I	0.030601101	0.105369289	0.030818392	0.041974084	-0.139706514	-0.029860234	-0.097484261	0.005421536	-0.010183843	0.064162218	-0.190884973	0.025595114	-0.058937991	-0.100597054	-0.056449827
115	I	0.013301148	-0.021075001	0.04021489	0.027084417	0.064431251	0.013465493	0.00524669	-0.113250693	-0.041568909	-0.044556143	0.079963877	0.056216801	0.007128602	-0.014609411	-0.078644197
116	I	0.018873659	-0.03093534	0.031064928	0.129870042	-0.02834744	-0.006203915	0.036793075	-0.111789336	0.031998231	-0.044338925	0.041351359	0.032002992	-0.035018264	-0.007054268	-0.047178544
117	I	-0.024433514	0.042390435	-0.025205438	0.076201922	-0.047681239	0.001641061	-0.047888548	-0.089010873	0.011808925	0.015099982	-0.063149217	0.08915209	-0.032832153	-0.008078208	-0.18078814
118	I	0.014542917	0.014189925	-0.035060731	0.144601528	0.03649755	-0.006943991	0.030181285	-0.096321616	0.060571865	-0.01310739	0.127151495	0.063737034	0.02336824	0.01200906	-0.060506125
119	I	-0.011471949	-0.067675162	0.059260704	0.041487418	-0.069066288	-0.037872426	-0.02054922	0.061674018	-0.024713003	0.013026514	-0.037671659	0.055108719	-0.112216217	0.0602656	0.067508548
120	I	0.031311613	-0.015369441	0.132483805	0.054834161	-0.043756568	-0.013519365	0.093748728	-0.042239077	-0.04053371	-0.029613909	0.073649635	0.082059904	0.006927948	-0.00791158	-0.069516408
121	I	0.030408304	-0.060057411	0.0626701	0.175191363	0.179200338	0.020343722	-0.02523577	-0.067647064	0.10748307	0.013998346	0.031340956	0.040578404	0.094923695	0.093938357	0.369808535
122	I	0.015724103	-0.053105187	-0.032333297	0.086973466	0.031984446	-0.02645616	0.075976687	0.117125333	0.003826919	0.003465292	-0.079104927	0.004822788	0.066707718	0.016029335	0.075623512
123	I	0.032922722	0.089839677	0.025742151	0.09072708	-0.004551943	0.00998316	-0.034467511	-0.050183619	0.031059307	0.015657454	-0.04967667	0.039546448	-0.005607795	-0.04649899	0.163249127
124	I	0.063583143	0.120411167	-0.022918228	0.048268636	-0.221744943	0.047536851	-0.017482791	-0.121338335	0.021441452	0.007678856	-0.075425127	0.033249799	-0.036223457	-0.047257208	-0.213511288
125	I	0.058696603	-0.036827595	-0.04911491	0.033472164	-0.096382452	-0.023612766	-0.077899422	0.04258647	-0.039301817	-0.000146884	-0.073893508	-0.085622173	-0.042046811	-0.003750206	0.158179964
126	B	0.034021981	0.172704549	0.069900703	-0.080101413	0.196478888	-0.120004681	-0.039507877	0.121475931	0.048846322	0.034326643	-0.003723527	0.020338592	-0.090028965	-0.14418131	0.09163381
127	B	0.008626377	0.022747231	0.033309186	-0.024612204	0.143782523	-0.167322656	-0.058307627	0.109451436	0.048234206	0.065556785	0.060183152	0.00085389	-0.105105233	0.052390379	0.139848279
128	B	0.004044749	0.026602534	-0.033841999	-0.084748518	-0.014652706	-0.22614247	-0.065398081	-0.00351369	-0.006979693	-0.001968277	-0.014887324	0.004920978	-0.138821845	-0.074059944	-0.219773189
129	B	0.025071816	-0.012202627	-0.033933678	0.008467708	0.230814257	-0.116006661	0.020311571	0.112683124	-0.013060397	0.026362991	0.117842584	-0.011471019	-0.049403945	-0.036303654	0.040838926
130	B	0.05211879	0.024104381	0.027663508	0.015684484	0.274294558	-0.113560736	0.109309307	0.171832906	0.163708212	0.026050506	0.1643849	0.009212745	0.112018128	-0.013447756	0.071206572
131	B	0.056877618	-0.031641713	0.01356426	-0.046314719	0.131276193	-0.172444992	-0.088176622	-0.001789004	-0.004894653	0.025450731	-0.05237253	-0.001794413	-0.118779998	0.031792146	-0.066479315
132	B	0.041333594	-0.043356051	-0.001839554	-0.014070153	0.090834991	-0.238313894	-0.026585028	0.036351456	0.026955364	0.071051999	-0.04940383	-0.099258955	-0.000563255	0.059866864	-0.312765988
133	B	0.056049793	0.009595303	0.018134039	-0.059250935	0.028328488	-0.146410486	0.021093203	0.04549931	0.011355711	0.014557657	0.034152817	-0.045910697	-0.03658235	0.041766889	-0.110066498
134	D	0.030905415	0.102410217	-0.018681294	-0.10723434	0.035753716	-0.046923942	0.05206087	0.189295547	0.036783244	-0.043536694	-0.131703563	-0.030959215	-0.069592257	-0.060226485	0.045337426
135	D	-0.024419787	-0.044171393	0.013541847	-0.08653889	-0.064245189	-0.217466759	0.026860855	0.220804236	-0.020666411	0.070481064	-0.098255814	-0.043948778	-0.03681405	0.057135198	0.211841665
